Provinsi,2023,2022,2021
Aceh,77.53,80.82,80.92
Sumatera Utara,80.34,79.53,77.6
Sumatera Barat,76.27,77.35,78.51
Riau,75.55,73.64,75.66
Jambi,74.47,77.19,72.91
Sumatera Selatan,78.17,80.59,78.63
Bengkulu,74.26,73.23,72.73
Lampung,78.37,78.32,80.18
Kep. Bangka Belitung,75.95,76.65,74.11
Kep. Riau,77.66,78.77,79.53
DKI Jakarta,84.57,82.13,82.08
Jawa Barat,83.04,83.34,79.72
Jawa Tengah,80.87,84.79,81.15
DI Yogyakarta,83.88,85.62,81.21
Jawa Timur,82.01,84.92,81.31
Banten,75.83,78.75,75.93
Bali,85.13,83.21,75.35
Nusa Tenggara Barat,70.03,73.38,72.69
Nusa Tenggara Timur,77.39,77.83,73.42
Kalimantan Barat,81.69,81.48,74.03
Kalimantan Tengah,77.57,79.3,73.17
Kalimantan Selatan,80.44,80.86,75.41
Kalimantan Timur,82.28,83.58,81.02
Kalimantan Utara,80.47,78.79,79.38
Sulawesi Utara,76.27,78.22,80.41
Sulawesi Tengah,79.13,80.92,77.95
Sulawesi Selatan,76.43,80.09,74.85
Sulawesi Tenggara,77.03,80.35,77.96
Gorontalo,79.71,73.74,77.01
Sulawesi Barat,74.55,74.03,71.3
Maluku,69.35,75.26,66.76
Maluku Utara,65.57,62.93,68.82
Papua Barat,65.55,64.02,68.68
Papua,67.64,66.65,66.39
